"Name","Company","State","City","Salary","Location","Url"
"Software Engineer .NET"," Episerver  ","Sweden","Stockholm","","Stockholm","https://www.glassdoor.com/partner/jobListing.htm?pos=121&ao=322767&s=58&guid=00000165674f3be99aba7d88ee79f43f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_60dcbcba&cb=1535036570919&jobListingId=2849872121"
"C# (.NET) Chief Software Architect ($100K/yr) - Online Hiring Event"," Crossover for Work  ","Sweden","Stockholm","","Stockholm","https://www.glassdoor.com/partner/jobListing.htm?pos=122&ao=370679&s=58&guid=00000165674f3be99aba7d88ee79f43f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_9d8f4594&cb=1535036570920&jobListingId=2828787426"
"Java Chief Software Architect ($100K/yr) - Online Hiring Event"," Crossover for Work  ","Sweden","Stockholm","","Stockholm","https://www.glassdoor.com/partner/jobListing.htm?pos=123&ao=370679&s=58&guid=00000165674f3be99aba7d88ee79f43f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_f6deb150&cb=1535036570921&jobListingId=2828786904"
"JavaScript Chief Software Architect ($100K/yr) - Online Hiring Event"," Crossover for Work  ","Sweden","Stockholm","","Stockholm","https://www.glassdoor.com/partner/jobListing.htm?pos=124&ao=370679&s=58&guid=00000165674f3be99aba7d88ee79f43f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_e8a2e9a7&cb=1535036570922&jobListingId=2828787782"
"Software Engineer"," Vizrt  ","Sweden","Stockholm","","Stockholm","https://www.glassdoor.com/partner/jobListing.htm?pos=125&ao=4341&s=58&guid=00000165674f3be99aba7d88ee79f43f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_0200908e&cb=1535036570924&jobListingId=2828215077"
"Software Engineer"," Northvolt  ","Sweden","Stockholm","","Stockholm","https://www.glassdoor.com/partner/jobListing.htm?pos=126&ao=124245&s=58&guid=00000165674f3be99aba7d88ee79f43f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_a0cee8d7&cb=1535036570924&jobListingId=2816390993"
"Senior Software Engineer Javascript"," Episerver  ","Sweden","Stockholm","","Stockholm","https://www.glassdoor.com/partner/jobListing.htm?pos=127&ao=322767&s=58&guid=00000165674f3be99aba7d88ee79f43f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_074262e7&cb=1535036570925&jobListingId=2849871824"
"Senior Vice President of Software Engineering & Operations ($400K/yr) - Exclusive Hiring Event"," Crossover for Work  ","Sweden","Stockholm","","Stockholm","https://www.glassdoor.com/partner/jobListing.htm?pos=128&ao=370657&s=58&guid=00000165674f3be99aba7d88ee79f43f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_86f278dc&cb=1535036570926&jobListingId=2828785757"
"Full-stack software engineer"," Limina  ","Sweden","Stockholm","","Stockholm","https://www.glassdoor.com/partner/jobListing.htm?pos=129&ao=124245&s=58&guid=00000165674f3be99aba7d88ee79f43f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_aed48e25&cb=1535036570927&jobListingId=2811566661"
"Software Engineering Intern, PhD"," Google  ","Sweden","Stockholm","","Stockholm","https://www.glassdoor.com/partner/jobListing.htm?pos=130&ao=191997&s=58&guid=00000165674f3be99aba7d88ee79f43f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_351fbe68&cb=1535036570929&jobListingId=2723082274"
