Name,Company,State,City,Salary,Location,Url
Software Engineer, LiveIntent  We're Hiring,Denmark,Copenhagen,,Copenhagen,https://www.glassdoor.com/partner/jobListing.htm?pos=116&ao=323853&s=58&guid=000001656751745f968ec6a93f5d026f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_0a4e7281&cb=1535036716467&jobListingId=2693101313
Senior Software Developer, Deltek  We're Hiring,Denmark,Copenhagen,,Copenhagen,https://www.glassdoor.com/partner/jobListing.htm?pos=117&ao=289683&s=58&guid=000001656751745f968ec6a93f5d026f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_3c9c1fc5&cb=1535036716468&jobListingId=2766305095
Senior Technical Supporter, Siteimprove  ,Denmark,Copenhagen,,Copenhagen,https://www.glassdoor.com/partner/jobListing.htm?pos=118&ao=297457&s=58&guid=000001656751745f968ec6a93f5d026f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_9800cc6c&cb=1535036716469&jobListingId=2864956973
Software Engineering Intern, Zendesk  ,Denmark,Copenhagen,,Copenhagen,https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=134363&s=58&guid=000001656751745f968ec6a93f5d026f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_e723a19b&cb=1535036716470&jobListingId=2653674886
VP of Technical Product Management ($200k/yr) - Exclusive Hiring Event, Crossover for Work  New,Denmark,Copenhagen,,Copenhagen,https://www.glassdoor.com/partner/jobListing.htm?pos=120&ao=370657&s=58&guid=000001656751745f968ec6a93f5d026f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_fc0076bf&cb=1535036716471&jobListingId=2828784322
EVP of Software Engineering and Operations ($800K/yr) - Exclusive Hiring Event, Crossover for Work  New,Denmark,Copenhagen,,Copenhagen,https://www.glassdoor.com/partner/jobListing.htm?pos=121&ao=370675&s=58&guid=000001656751745f968ec6a93f5d026f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_7591c292&cb=1535036716472&jobListingId=2828785370
Software Engineer, GOMSPACE A/S  ,Denmark,Denmark,,Denmark,https://www.glassdoor.com/partner/jobListing.htm?pos=122&ao=124245&s=58&guid=000001656751745f968ec6a93f5d026f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_158d6242&cb=1535036716473&jobListingId=2796763431
Senior Vice President of Software Engineering & Operations ($400K/yr) - Exclusive Hiring Event, Crossover for Work  New,Denmark,Copenhagen,,Copenhagen,https://www.glassdoor.com/partner/jobListing.htm?pos=123&ao=370657&s=58&guid=000001656751745f968ec6a93f5d026f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_407d0aa5&cb=1535036716474&jobListingId=2828785741
Solution Engineer - Nordics, Tinyclues  ,Denmark,Copenhagen,,Copenhagen,https://www.glassdoor.com/partner/jobListing.htm?pos=124&ao=259733&s=58&guid=000001656751745f968ec6a93f5d026f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_d57fb497&cb=1535036716475&jobListingId=2816863522
SVP of Technical Product Management ($400K/yr) - Exclusive Hiring Event, Crossover for Work  New,Denmark,Copenhagen,,Copenhagen,https://www.glassdoor.com/partner/jobListing.htm?pos=125&ao=370657&s=58&guid=000001656751745f968ec6a93f5d026f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_5d308984&cb=1535036716476&jobListingId=2828783979
